Intersul (A)
s06 958 Praça Seca - Cidade Universitária (via Linha Amarela) |
s750 886 Freguesia - Barra da Tijuca | C
s751 887 Pechincha - Barra da Tijuca | C
Gal.Osório/Alvorada 525 General Osório - Alvorada (metrô) | BRS3

===

Santa Cruz (D)
- 897 Pingo D’Água - Alvorada (via Pedra de Guaratiba) |
- sn300 Sulacap - Carioca |
- sV367 Realengo - Praça XV (via Avenida Brasil) | P
- sV379 Catiri - Tiradentes (via Av. Brasil) |
- sV389 Vila Aliança - Carioca (via Senador Camará) | P
- sn392 Bangu - Carioca (via Padre Miguel) |
- sn393 Bangu - Castelo |
- sr393 Bangu - Castelo (seletiva) |
- sV394 Vila Kennedy - Tiradentes | P
- sV395 Coqueiros - Tiradentes | P
- sn397 Campo Grande - Carioca (via Bangu) |
- sr397 Campo Grande - Carioca (via Bangu - seletiva) |
- sn398 Campo Grande - Tiradentes |
- sr398 Campo Grande - Tiradentes | E
- sn689 Campo Grande - Méier |
- sn737 Santíssimo - Marechal Hermes | C
- sn741 Barata - Bangu (via Murundu) | C
- sn744 Realengo - Cascadura (via Jardim Novo) |
- sn745 Bangu - Cascadura |
- sn777 Padre Miguel - Madureira |
- sn786 Campo Grande - Marechal Hermes |
- sn803 Senador Camará - Alvorada |
- sn838 Jardim Maravilha - Campo Grande |
- sn839 Cesarão - Campo Grande (via Urucânia) | C
- sn840 São Fernando - Campo Grande (via Av. João XXIII) |
- sn841 Inhoaíba - Campo Grande (via Estrada Rio - São Paulo) |
- sn846 Rio da Prata - Campo Grande (via Cabuçu) |
- sn850 Mendanha - Campo Grande |
- sn854 Campo Grande - Barra da Tijuca |
- sn867 Barra de Guaratiba - Campo Grande (via Ilha de Guaratiba) |
- sn870 Sepetiba - Bangu |
- sn882 Santa Cruz - Barra da Tijuca (via Avenida Dom João VI) |
